ent_ip_src,ent_tp_src,ent_tp_dst,ent_packet_type,total_packets,ATKorNot
3.4219280949,0.4689955936,0.4689955936,0.2863969571,20,0
0.3160159751,5.9257048828,0.2729708579,0.2729708579,64,0
0.9519940819,3.8077635764,0.6722948171,0.6722948171,17,0
0.20307393,5.9455338918,0.20307393,0.20307393,63,0
0.3912435636,3.7004397181,0.3912435636,0.3912435636,13,0
0.2262123012,5.9837880588,0.1959092709,0.1959092709,66,0
0.3912435636,3.7004397181,0.3912435636,0.3912435636,13,0
0.2006223243,5.96875,0.2006223243,0.2006223243,64,0
4.3242234752,2.3937702968,5.311394609,0.2280022184,325,0
4.822303327,0.7825705048,5.9473824893,0.071844695,346,0
4.6495303431,1.300351297,6.343661972,0.0354144633,537,0
4.5532899363,0.8231450617,6.6570735551,0,379,0
3.3095516519,1.8127634393,6.309123414,0.1482722272,424,0
2.3174848814,0.3008363149,7.186349346,0.0394306005,473,0
1.9673990565,1.2529927894,6.9239920084,0.0363934034,520,0
1.6771503354,0.2892733576,7.3387099694,0.0507178491,526,0
1.4299746143,1.395657572,6.6664195042,0.0940844388,498,0
1.519842413,0.3939109262,6.9846110355,0.068586094,366,0
2.2794683679,1.6619011919,6.0050276035,0.0826619884,389,0
1.7427235632,0.7685325299,5.4628028353,0.0994770509,155,0
1.8276519925,3.7925890777,3.5204726545,0.3079753289,145,0
2.9752251441,1.0603855364,5.2235163265,0.0446646009,204,0
3.1064479057,1.7327730723,6.3407865315,0.0219525024,470,0
2.7210691398,1.2026788666,7.2885717576,0.0309193989,630,0
2.1604381213,0.3391347221,7.3677460364,0.0899816551,526,0
1.8373096677,0.8608400887,6.9650474497,0.0814620269,990,0
1.076540771,0.2359609126,7.8478941082,0.0665175018,633,0
1.2791459483,1.3889657853,7.047067953,0.037943682,495,0
1.2745594225,0.0488195808,6.4963476177,0.0488195808,367,0
1.750492261,1.1346797835,6.0496016463,0.063067808,405,0
1.4932032063,1.5126397859,5.6365897564,0.0640534771,265,0
2.0383673814,0.8301041897,6.3156157191,0,484,0
1.8647037354,1.3853173494,5.9020888821,0.1129298132,265,0
1.1412372085,1.7466648513,4.7447682985,0.1055910364,144,0
3.3667482317,2.5390762168,4.8683484961,0.0846272708,189,0
1.460877238,2.9502120649,3.050558111,0.1292337748,56,0
1.515480167,5.3297593514,1.5886322824,0.1982349641,65,0
2.8095065474,2.3048026203,3.1323096246,0.2135798153,59,0
0.2006223243,5.96875,0.2006223243,0,64,0
0.6193821947,3.5465935643,0.6193821947,0,13,0
0.485336051,5.9402687977,0.485336051,0,69,0
1.1216407622,3.5,1.3716407622,0.3372900666,16,0
0.1311065296,5.7813597135,0.1311065296,0,55,0
2.5446803729,3.7309387277,2.9963527016,0,103,0
0.2351933818,4.7004397181,0.2351933818,0.2351933818,26,0
1.8570650071,4.5880534026,1.9670579576,0.2386845114,51,0
2.0463555743,4.2986893512,2.3964307666,0.1146755053,65,0
0.2863969571,5.2719280949,0.3363969571,0,40,0
0.4804334575,5.0809428926,0.4804334575,0,37,0
0.1871762569,5.1292830169,0.1871762569,0.1871762569,35,0
0.3238144753,5.3923174228,0.3238144753,0.1623261802,42,0
0.1871762569,5.1292830169,0.1871762569,0.1871762569,35,0
1.4307227363,4.6617148092,0.9158590623,0.8713228095,82,0
0.4804334575,5.0809428926,0.4059770385,0.4059770385,37,0
2.4734097257,3.0557861643,3.2007415408,0,99,0
0.5860162306,5.2402182431,0.4464813469,0.4464813469,43,0
0.3363969571,5.2719280949,0.3363969571,0,40,0
3.0783729462,2.5749607644,3.631088107,0,104,0
3.545860069,0.2872642819,5.3301789236,0,424,0
