ent_ip_src,ent_tp_src,ent_tp_dst,ent_packet_type,total_packets
2.1673929196,2.8413365232,1.9602081221,0.1067920324,572
2.2434586411,3.2886029734,2.7007745462,0.0723409631,1842
2.46143351,4.0343282483,2.5338835714,0.0498640231,1226
3.0435860483,4.1950083391,2.7503796051,0.1099905648,1654
1.7327341928,3.2757649728,1.970836653,0.0740915968,2161
2.7579804375,3.7122172633,3.2645121455,0.3339360631,198
2.4120383646,3.8252265516,2.9471887073,0,407
2.7217178634,3.5104961879,3.3892422724,0,313
2.2907086116,3.4847965866,3.0663200256,0,321
2.5222914557,4.0051117138,3.1390312213,0,944
2.3423758735,3.4593076672,2.8106646592,0,789
2.3850674433,3.831703467,2.7400261073,0,1041
2.4948221946,3.6264545115,2.6155986526,0.0425825298,2220
2.6897120331,3.4150402567,2.6527320834,0.2081809456,1108
2.3143840907,3.7604309283,3.1615942877,0.1120591714,907
2.929710775,4.2032811932,2.7183743005,0.0352660032,1648
1.6761068137,3.7038140565,1.8832144686,0,1412
1.9287135777,3.8186190179,1.8055077158,0.0094552062,5007
2.8186592237,3.3910070028,2.8012890585,0.0253749917,854
2.9117336745,3.77735163,2.7878695162,0.3186223172,579
2.5638803608,3.9254354297,3.4241297401,0.0734234127,1365
3.0004283226,4.0833927773,2.729893527,0.2886077876,342
2.6056357255,4.0706891505,2.0603674319,0.0187677631,4547
2.2095037165,3.1364886907,2.9369009784,0.0369356069,558
2.5875014877,4.0817175833,2.8045726863,0.0643759716,1376
2.4566570741,3.9036218454,2.8762770076,0.0893137119,1510
2.2381785436,3.7809953132,2.3755611728,0.0671104765,2019
2.4326479365,3.9242717709,2.2929613498,0.0632296372,1367
2.6290364723,4.0218582145,2.7284751187,0.0422386102,2423
3.0777480666,4.5649399189,2.9346622804,0.0892894791,1647
2.4365802988,3.8091908082,1.9908619321,0.0275658596,2940
2.6463999536,4.0174141462,2.8592836268,0.0269766302,1853
1.3863671565,3.252073578,1.7178102155,0.0743334402,678
2.5055367771,4.1983998739,2.5060077887,0.0687448416,1746
2.8015290083,4.2307674697,3.1563633578,0.1537421803,935
1.7591530335,3.5988317048,2.3465822488,0.0546082292,1971
2.5868974073,3.4516045621,2.4126979634,0.0359255808,1110
1.9326669711,3.4907238897,2.4587766538,0.0596028868,581
2.2094254403,3.770870723,2.7427764496,0.0366924997,1041
2.376195724,3.8751498153,3.074143851,0.0737119854,1141
2.9911085394,4.5129030229,2.9058634097,0.0578651468,4440
2.0474273533,3.3176887616,1.9793653999,0.0492701878,406
2.6069733466,4.3682115786,2.5918703258,0.0231312178,1823
2.307689741,4.1285892137,2.3997802469,0.0297368737,1320
2.607529048,3.8640499225,2.8643887547,0.0996074633,633
2.3578947795,4.0091770364,3.4780904283,0,455
2.154141023,3.6792027843,2.0908041451,0,3257
1.8614635071,3.2811825652,1.8168342775,0,1698
1.9538142017,2.3142314377,2.0360157796,0,727
2.3490325746,3.6222568523,3.0947350005,0,639
2.8128804904,4.1534392817,3.2597664002,0.0644571448,1060
