IP_source,destination_port,sum_ip
14.170.229.83,0.0,1
171.248.191.169,2.584962500721156,6
14.170.229.83,2.584962500721156,6
14.182.53.58,0.0,1
14.170.229.83,0.0,1
14.182.53.58,3.0,8
100.69.109.176,0.0,1
14.163.32.90,2.521640636343318,7
42.118.244.167,0.0,1
64.233.173.132,2.584962500721156,6
64.233.173.133,2.584962500721156,6
64.233.173.134,2.321928094887362,5
100.69.109.176,2.584962500721156,6
116.104.142.70,1.0,2
14.163.32.90,0.0,1
42.118.244.167,1.584962500721156,3
100.69.109.176,0.0,1
109.63.201.26,0.0,1
100.69.109.176,2.584962500721156,6
113.190.94.94,2.584962500721156,6
203.113.152.8,0.0,1
100.69.109.176,1.0,2
203.113.152.2,0.0,1
203.113.152.4,1.584962500721156,3
203.113.152.5,0.0,1
14.163.32.90,2.807354922057604,7
27.64.245.195,3.321928094887362,10
100.69.109.176,2.584962500721156,6
113.190.94.94,0.0,1
1.53.37.89,0.0,1
100.69.109.176,2.807354922057604,7
113.190.94.94,2.321928094887362,5
1.53.37.89,2.321928094887362,5
14.182.53.58,0.0,1
27.75.130.66,2.807354922057604,7
171.226.111.235,3.0,8
203.113.152.7,0.0,1
14.181.136.225,0.0,1
14.182.53.58,3.0,8
100.69.109.176,3.8073549220576055,14
113.190.94.94,2.584962500721156,6
171.232.27.113,0.0,1
1.53.37.89,0.0,1
14.181.136.225,2.321928094887362,5
66.249.82.216,1.0,2
66.249.82.217,1.0,2
66.249.82.218,1.584962500721156,3
113.190.94.94,2.584962500721156,6
123.24.178.241,2.0,4
1.53.37.89,3.7004397181410926,13
27.3.128.136,1.0,2
64.233.173.132,1.584962500721156,3
64.233.173.133,1.584962500721156,3
64.233.173.134,1.584962500721156,3
152.75.194.146,0.0,1
42.118.244.167,2.0,4
64.233.173.132,1.584962500721156,3
64.233.173.133,0.0,1
64.233.173.134,1.584962500721156,3
152.75.194.146,2.807354922057604,7
1.53.37.89,2.807354922057604,7
27.64.245.195,3.169925001442312,9
66.249.82.217,1.584962500721156,3
123.16.72.167,0.0,1
152.75.194.146,0.0,1
66.249.79.136,0.0,1
123.16.72.167,2.584962500721156,6
171.232.27.113,0.0,1
14.181.136.225,2.584962500721156,6
66.249.71.152,0.0,1
66.249.71.153,0.0,1
66.249.71.154,0.0,1
66.249.82.221,1.0,2
66.249.82.222,2.321928094887362,5
69.162.124.229,0.0,1
171.248.191.169,2.807354922057604,7
1.53.37.89,2.584962500721156,6
14.182.53.58,3.906890595608518,15
69.162.124.229,1.584962500721156,3
171.233.49.16,2.807354922057604,7
171.248.191.169,0.0,1
1.53.37.89,2.584962500721156,6
14.163.32.90,2.584962500721156,6
14.182.53.58,3.906890595608518,15
66.249.82.220,2.321928094887362,5
66.249.82.221,2.321928094887362,5
66.249.82.222,2.584962500721156,6
116.102.30.101,2.584962500721156,6
1.53.37.89,1.0,2
14.163.32.90,0.0,1
171.233.49.16,0.0,1
1.53.37.89,2.807354922057604,7
66.249.77.17,0.0,1
222.254.61.59,3.0,8
66.249.77.19,0.0,1
66.249.79.184,0.0,1
113.23.11.214,1.0,2
113.190.94.94,2.584962500721156,6
171.248.191.169,0.0,1
222.254.61.59,2.0,4
1.53.37.89,2.807354922057604,7
42.118.244.167,2.0,4
113.23.11.214,2.584962500721156,6
14.163.32.90,1.0,2
92.247.181.31,0.0,1
113.23.11.214,2.584962500721156,6
222.254.61.59,2.584962500721156,6
1.53.37.89,2.807354922057604,7
14.163.32.90,2.321928094887362,5
180.93.14.212,2.584962500721156,6
207.46.13.181,0.0,1
222.254.61.59,2.584962500721156,6
1.53.37.89,2.807354922057604,7
66.190.128.228,2.807354922057604,7
66.249.82.220,2.0,4
66.249.82.221,1.584962500721156,3
66.249.82.222,2.321928094887362,5
113.185.22.40,0.0,1
116.102.30.101,2.584962500721156,6
171.232.27.113,0.0,1
180.93.14.212,0.0,1
209.133.111.211,1.0,2
222.254.61.59,0.0,1
1.53.37.89,2.807354922057604,7
14.163.32.90,2.75,8
66.249.79.187,0.0,1
113.185.22.40,1.0,2
171.248.191.169,0.0,1
222.254.61.59,2.584962500721156,6
113.185.26.186,0.0,1
171.248.191.169,0.0,1
203.113.152.3,0.0,1
152.75.194.146,1.0,2
222.254.61.59,2.807354922057604,7
66.249.82.220,2.0,4
66.249.82.221,1.0,2
66.249.82.222,1.584962500721156,3
113.190.94.94,2.584962500721156,6
152.75.194.146,2.321928094887362,5
171.248.191.169,0.0,1
222.254.61.59,2.584962500721156,6
14.170.229.83,2.807354922057604,7
113.179.188.56,3.169925001442312,9
171.248.191.169,2.0,4
14.170.229.83,2.584962500721156,6
42.118.244.167,1.9219280948873623,5
171.232.27.113,0.0,1
171.248.191.169,2.321928094887362,5
14.170.229.83,0.0,1
100.69.109.176,0.0,1
100.69.109.176,2.584962500721156,6
171.248.191.169,2.0,4
222.254.61.59,0.0,1
100.69.109.176,3.8073549220576055,14
118.70.128.42,0.0,1
152.75.194.146,2.321928094887362,5
222.254.61.59,2.584962500721156,6
66.249.79.181,0.0,1
66.249.82.216,2.584962500721156,6
66.249.82.217,2.807354922057604,7
66.249.82.218,3.169925001442312,9
113.23.11.214,2.807354922057604,7
113.179.188.56,2.807354922057604,7
116.102.30.101,2.807354922057604,7
152.75.194.146,1.0,2
66.249.82.220,1.584962500721156,3
66.249.82.221,1.0,2
66.249.82.222,2.0,4
113.179.188.56,0.0,1
116.102.30.101,2.321928094887362,5
222.254.61.59,2.807354922057604,7
14.163.32.90,1.0,2
100.69.109.176,3.0,8
222.254.61.59,2.321928094887362,5
100.69.109.176,2.807354922057604,7
113.190.94.94,2.584962500721156,6
180.93.14.212,0.0,1
42.114.184.41,0.0,1
66.249.82.220,1.584962500721156,3
66.249.82.221,3.0,8
100.69.109.176,2.807354922057604,7
113.179.188.56,0.0,1
113.190.94.94,2.584962500721156,6
180.93.14.212,2.321928094887362,5
14.163.32.90,1.584962500721156,3
42.114.184.41,1.584962500721156,3
69.162.124.229,2.0,4
100.66.91.54,1.584962500721156,3
171.232.27.113,0.0,1
113.23.11.214,0.0,1
222.254.61.59,2.584962500721156,6
100.69.109.176,2.807354922057604,7
113.23.11.214,0.0,1
222.254.61.59,1.584962500721156,3
66.249.82.220,1.584962500721156,3
100.69.109.176,2.807354922057604,7
116.107.255.237,2.584962500721156,6
171.248.191.169,1.0,2
222.254.61.59,2.584962500721156,6
14.163.32.90,0.0,1
113.23.11.214,1.0,2
222.254.61.59,2.584962500721156,6
14.181.136.225,2.584962500721156,6
66.249.82.222,0.0,1
222.254.61.59,2.584962500721156,6
14.163.32.90,3.7004397181410926,13
42.114.184.41,2.0,4
171.232.27.113,0.0,1
222.254.61.59,0.0,1
14.163.32.90,2.807354922057604,7
66.249.82.216,1.0,2
66.249.82.217,1.0,2
66.249.82.218,2.0,4
113.23.11.214,3.321928094887362,10
116.102.30.101,2.584962500721156,6
222.254.61.59,2.584962500721156,6
68.180.229.43,2.321928094887362,5
113.23.11.214,2.321928094887362,5
116.107.255.237,2.584962500721156,6
116.111.75.115,0.0,1
171.248.191.169,2.807354922057604,7
14.189.20.65,2.0,4
42.114.184.41,2.0,4
64.233.173.156,2.0,4
64.233.173.157,1.0,2
64.233.173.158,0.0,1
68.180.228.185,0.0,1
100.66.91.54,1.0,2
113.183.209.173,2.321928094887362,5
116.111.75.115,2.321928094887362,5
171.248.191.169,0.0,1
222.254.61.59,2.807354922057604,7
66.249.82.220,1.0,2
66.249.82.221,2.0,4
66.249.82.222,1.584962500721156,3
69.162.124.232,1.584962500721156,3
100.66.91.54,1.0,2
116.102.30.101,2.584962500721156,6
222.254.61.59,2.584962500721156,6
14.189.20.65,2.0,4
69.162.124.232,0.0,1
100.69.186.43,0.0,1
113.179.188.56,3.0,8
222.254.61.59,2.807354922057604,7
100.69.186.43,3.169925001442312,9
222.254.61.59,2.807354922057604,7
42.118.154.207,2.807354922057604,7
171.248.191.169,1.0,2
222.254.61.59,3.321928094887362,10
100.69.186.43,0.0,1
171.248.191.169,0.0,1
66.249.82.220,1.0,2
66.249.82.222,1.0,2
100.69.186.43,3.169925001442312,9
116.102.30.101,2.584962500721156,6
