ent_ip_src,ent_tp_src,ent_tp_dst,ent_packet_type,total_packets,AtkOrNot
6.6438561898,8.9497842847,0,0,500,0
6.6438561898,8.9537842847,0,0,500,0
6.6438561898,8.9457842847,0,0,500,0
6.6438561898,8.9537842847,0,0,500,0
6.6438561898,8.9537842847,0,0,500,0
6.6435484964,8.9293190765,0,0,499,0
6.6435885857,8.9606827613,0,0,501,0
6.6438561898,8.9417842847,0,0,500,0
6.6438561898,8.9202745097,0,0,500,0
6.6658433214,8.9296608759,0.0667796411,0.074716149,504,0
6.6438561898,8.9497842847,0,0,500,0
6.6438561898,8.9497842847,0,0,500,0
6.6438561898,8.9457842847,0,0,500,0
6.6438561898,8.9297842847,0,0,500,0
6.6438561898,8.9362745097,0,0,500,0
6.6438561898,8.9337842847,0,0,500,0
6.6438561898,8.9457842847,0,0,500,0
6.6438561898,8.9497842847,0,0,500,0
6.6655589099,8.9346531584,0.0668895269,0.0748418131,503,0
6.6435484964,8.9548799733,0,0,499,0
6.6438561898,8.9537842847,0,0,500,0
6.6435885857,8.9487067134,0,0,501,0
6.6438561898,8.9417842847,0,0,500,0
6.6438561898,8.9457842847,0,0,500,0
6.6438561898,8.9537842847,0,0,500,0
6.6438561898,8.9577842847,0,0,500,0
6.6435484964,8.9468639412,0,0,499,0
6.6435484964,8.9508719572,0,0,499,0
6.6588883964,8.8308001893,0.0708739392,0.0794027238,469,0
6.6068064676,7.8169424785,0,0,235,0
6.6146626244,7.9519698036,0,0,249,0
6.6146626244,7.9519698036,0,0,249,0
6.6146626244,7.9519698036,0,0,249,0
6.6146626244,7.927873418,0,0,249,0
6.6146626244,7.9519698036,0,0,249,0
6.6432343911,7.949314608,0.1168497609,0.1325977924,254,0
6.6146626244,7.9519698036,0,0,249,0
6.6148067842,7.9497842847,0,0,250,0
6.6146626244,7.9600019321,0,0,249,0
6.6146626244,7.9359055465,0,0,249,0
6.6146626244,7.9519698036,0,0,249,0
6.6146626244,7.943937675,0,0,249,0
